timestamp,node_count,pod_count
2023-07-25 15:21:30,4,9
2023-07-25 15:21:31,4,9
2023-07-25 15:21:32,4,9
2023-07-25 15:21:33,4,9
2023-07-25 15:21:35,4,9
2023-07-25 15:21:36,4,9
2023-07-25 15:21:37,4,9
2023-07-25 15:21:38,4,9
2023-07-25 15:21:39,4,9
2023-07-25 15:21:40,4,9
2023-07-25 15:21:41,4,9
2023-07-25 15:21:43,4,9
2023-07-25 15:21:44,4,9
2023-07-25 15:21:45,4,9
2023-07-25 15:21:46,4,9
2023-07-25 15:21:47,4,9
2023-07-25 15:21:48,4,9
2023-07-25 15:21:49,4,9
2023-07-25 15:21:51,4,9
2023-07-25 15:21:52,4,9
2023-07-25 15:21:53,4,9
2023-07-25 15:21:54,4,9
2023-07-25 15:21:55,4,9
2023-07-25 15:21:56,4,9
2023-07-25 15:21:58,4,9
2023-07-25 15:21:59,4,9
2023-07-25 15:22:00,4,9
2023-07-25 15:22:01,4,9
2023-07-25 15:22:02,4,9
2023-07-25 15:22:03,4,9
2023-07-25 15:22:04,4,9
2023-07-25 15:22:06,4,9
2023-07-25 15:22:07,4,9
2023-07-25 15:22:08,4,9
2023-07-25 15:22:09,4,9
2023-07-25 15:22:10,4,9
2023-07-25 15:22:11,4,9
2023-07-25 15:22:13,4,9
2023-07-25 15:22:14,4,9
2023-07-25 15:22:15,4,9
2023-07-25 15:22:16,4,9
2023-07-25 15:22:17,4,9
2023-07-25 15:22:18,4,9
2023-07-25 15:22:19,4,9
2023-07-25 15:22:21,4,9
2023-07-25 15:22:22,4,9
2023-07-25 15:22:23,4,9
2023-07-25 15:22:24,4,9
2023-07-25 15:22:25,4,9
2023-07-25 15:22:26,4,9
2023-07-25 15:22:28,4,9
2023-07-25 15:22:29,4,9
2023-07-25 15:22:30,4,9
2023-07-25 15:22:31,4,9
2023-07-25 15:22:32,4,9
2023-07-25 15:22:33,4,9
2023-07-25 15:22:34,4,9
2023-07-25 15:22:36,4,9
2023-07-25 15:22:37,4,9
2023-07-25 15:22:38,4,9
2023-07-25 15:22:39,4,9
2023-07-25 15:22:40,4,9
2023-07-25 15:22:41,4,9
2023-07-25 15:22:43,4,9
2023-07-25 15:22:44,4,9
2023-07-25 15:22:45,4,9
2023-07-25 15:22:46,4,9
2023-07-25 15:22:47,4,9
2023-07-25 15:22:48,4,9
2023-07-25 15:22:50,4,9
2023-07-25 15:22:51,4,9
